Kuupäev,Hind,Lüliti
2022-10-17 18:00:00,261.09,True
2022-10-17 19:00:00,300.0,True
2022-10-17 20:00:00,284.34,True
2022-10-17 21:00:00,298.33,True
2022-10-17 22:00:00,245.17,True
2022-10-17 23:00:00,125.99,True
2022-10-18 00:00:00,98.36,True
2022-10-18 01:00:00,97.81,True
2022-10-18 02:00:00,97.81,True
2022-10-18 03:00:00,97.82,True
2022-10-18 04:00:00,97.88,True
2022-10-18 05:00:00,125.13,True
2022-10-18 06:00:00,161.79,False
2022-10-18 07:00:00,220.09,False
2022-10-18 08:00:00,269.15,False
2022-10-18 09:00:00,283.3,False
2022-10-18 10:00:00,245.08,False
2022-10-18 11:00:00,202.38,False
2022-10-18 12:00:00,180.36,False
2022-10-18 13:00:00,167.92,False
2022-10-18 14:00:00,154.05,False
2022-10-18 15:00:00,152.55,False
2022-10-18 16:00:00,200.13,True
2022-10-18 17:00:00,213.27,True
2022-10-18 18:00:00,227.64,True
2022-10-18 19:00:00,305.33,False
2022-10-18 20:00:00,281.23,False
2022-10-18 21:00:00,235.52,True
2022-10-18 22:00:00,176.44,True
2022-10-18 23:00:00,134.73,True
2022-10-19 00:00:00,97.81,True
2022-10-19 01:00:00,94.34,True
2022-10-19 02:00:00,94.31,True
2022-10-19 03:00:00,15.76,True
2022-10-19 04:00:00,16.04,True
2022-10-19 05:00:00,94.32,True
2022-10-19 06:00:00,125.37,False
2022-10-19 07:00:00,156.86,False
2022-10-19 08:00:00,240.21,False
2022-10-19 09:00:00,249.04,False
2022-10-19 10:00:00,195.05,False
2022-10-19 11:00:00,183.16,False
2022-10-19 12:00:00,174.24,False
2022-10-19 13:00:00,158.66,False
2022-10-19 14:00:00,148.56,False
2022-10-19 15:00:00,143.43,False
2022-10-19 16:00:00,147.63,True
2022-10-19 17:00:00,169.48,True
2022-10-19 18:00:00,194.58,True
2022-10-19 19:00:00,243.06,True
2022-10-19 20:00:00,240.02,True
2022-10-19 21:00:00,240.07,True
2022-10-19 22:00:00,165.43,True
2022-10-19 23:00:00,125.34,True
2022-10-20 00:00:00,94.35,True
