Kuupäev,Hind,Garderoob-Radiaator,Köök-Nõudepesumasin,Magamis-Radiaator,Paul-Kontor,Paul-Radiaator,Saal-Patareid
2023-08-01 00:00:00+03:00,91.68,sees,väljas,sees,sees,sees,väljas
2023-08-01 00:00:00+03:00,91.68,sees,väljas,sees,sees,sees,väljas
2023-08-01 01:00:00+03:00,54.83,sees,väljas,sees,sees,sees,väljas
2023-08-01 02:00:00+03:00,58.14,sees,väljas,sees,sees,sees,väljas
2023-08-01 03:00:00+03:00,57.86,sees,väljas,sees,sees,sees,väljas
2023-08-01 04:00:00+03:00,56.94,sees,väljas,sees,sees,sees,väljas
2023-08-01 05:00:00+03:00,19.97,sees,väljas,sees,sees,sees,sees
2023-08-01 06:00:00+03:00,63.4,sees,väljas,sees,sees,sees,väljas
2023-08-01 07:00:00+03:00,98.2,väljas,väljas,väljas,väljas,väljas,väljas
2023-08-01 08:00:00+03:00,70.0,väljas,väljas,väljas,väljas,väljas,väljas
2023-08-01 09:00:00+03:00,33.99,sees,väljas,sees,sees,sees,väljas
2023-08-01 10:00:00+03:00,34.52,sees,väljas,sees,sees,sees,väljas
2023-08-01 11:00:00+03:00,33.97,sees,väljas,sees,sees,sees,väljas
2023-08-01 12:00:00+03:00,33.64,sees,väljas,sees,sees,sees,väljas
2023-08-01 13:00:00+03:00,33.39,sees,väljas,sees,sees,sees,väljas
2023-08-01 14:00:00+03:00,32.57,sees,väljas,sees,sees,sees,väljas
2023-08-01 15:00:00+03:00,32.92,sees,väljas,sees,sees,sees,väljas
2023-08-01 16:00:00+03:00,32.11,sees,sees,sees,sees,sees,väljas
2023-08-01 17:00:00+03:00,32.17,sees,sees,sees,sees,sees,väljas
2023-08-01 18:00:00+03:00,142.17,väljas,väljas,väljas,sees,väljas,väljas
2023-08-01 19:00:00+03:00,151.54,väljas,väljas,väljas,sees,väljas,väljas
2023-08-01 20:00:00+03:00,154.32,väljas,väljas,väljas,sees,väljas,väljas
2023-08-01 21:00:00+03:00,154.82,väljas,väljas,väljas,sees,väljas,väljas
2023-08-01 22:00:00+03:00,150.39,väljas,väljas,väljas,sees,väljas,väljas
2023-08-01 23:00:00+03:00,102.55,sees,väljas,sees,sees,sees,väljas
2023-08-02 00:00:00+03:00,92.78,sees,väljas,sees,sees,sees,väljas
2023-08-02 00:00:00+03:00,92.78,sees,väljas,sees,sees,sees,väljas
2023-08-02 01:00:00+03:00,87.23,sees,väljas,sees,sees,sees,väljas
2023-08-02 02:00:00+03:00,58.89,sees,väljas,sees,sees,sees,väljas
2023-08-02 03:00:00+03:00,53.63,sees,väljas,sees,sees,sees,väljas
2023-08-02 04:00:00+03:00,65.46,sees,väljas,sees,sees,sees,väljas
2023-08-02 05:00:00+03:00,68.55,sees,väljas,sees,sees,sees,väljas
2023-08-02 06:00:00+03:00,85.83,sees,väljas,sees,sees,sees,väljas
2023-08-02 07:00:00+03:00,99.61,sees,väljas,sees,sees,sees,väljas
2023-08-02 08:00:00+03:00,107.16,sees,väljas,sees,sees,sees,väljas
2023-08-02 09:00:00+03:00,95.79,sees,väljas,sees,sees,sees,väljas
2023-08-02 10:00:00+03:00,87.3,sees,väljas,sees,sees,sees,väljas
2023-08-02 11:00:00+03:00,78.27,sees,väljas,sees,sees,sees,väljas
2023-08-02 12:00:00+03:00,64.5,sees,väljas,sees,sees,sees,väljas
2023-08-02 13:00:00+03:00,52.02,sees,väljas,sees,sees,sees,väljas
2023-08-02 14:00:00+03:00,33.08,sees,väljas,sees,sees,sees,väljas
2023-08-02 15:00:00+03:00,45.0,sees,väljas,sees,sees,sees,väljas
2023-08-02 16:00:00+03:00,20.73,sees,sees,sees,sees,sees,sees
2023-08-02 17:00:00+03:00,27.24,sees,sees,sees,sees,sees,väljas
2023-08-02 18:00:00+03:00,51.75,sees,väljas,sees,sees,sees,väljas
2023-08-02 19:00:00+03:00,67.59,sees,väljas,sees,sees,sees,väljas
2023-08-02 20:00:00+03:00,111.08,väljas,väljas,väljas,sees,väljas,väljas
2023-08-02 21:00:00+03:00,117.74,väljas,väljas,väljas,sees,väljas,väljas
2023-08-02 22:00:00+03:00,98.36,väljas,väljas,väljas,sees,väljas,väljas
2023-08-02 23:00:00+03:00,65.7,sees,väljas,sees,sees,sees,väljas
2023-08-03 00:00:00+03:00,34.06,sees,väljas,sees,sees,sees,väljas
2023-08-03 00:00:00+03:00,34.06,sees,väljas,sees,sees,sees,väljas
2023-08-03 01:00:00+03:00,7.32,sees,väljas,sees,sees,sees,väljas
2023-08-03 02:00:00+03:00,8.67,sees,väljas,sees,sees,sees,väljas
2023-08-03 03:00:00+03:00,3.1,sees,sees,sees,sees,sees,sees
2023-08-03 04:00:00+03:00,5.61,sees,sees,sees,sees,sees,väljas
2023-08-03 05:00:00+03:00,7.03,sees,väljas,sees,sees,sees,väljas
2023-08-03 06:00:00+03:00,11.32,sees,väljas,sees,sees,sees,väljas
2023-08-03 07:00:00+03:00,33.16,sees,väljas,sees,sees,sees,väljas
2023-08-03 08:00:00+03:00,52.83,sees,väljas,sees,sees,sees,väljas
2023-08-03 09:00:00+03:00,67.97,sees,väljas,sees,sees,sees,väljas
